廉颇,勇士之魂,爆裂冲撞,熔岩重击,天崩地裂,被动：廉颇释放技能过程中会处于霸体状态。进入战斗后廉颇的战意会逐渐提升，战意越高减伤越多，最多获得20%所受到的伤害。当战意充盈时，廉颇提升自身30%攻击速度。脱战后战意逐渐降低。,廉颇向指定方向发起冲锋，对敌人造成150/170/190/210/230/250（+65%物理攻击）点物理伤害并将其击飞0.5秒。 被动：第三次普攻为直拳重击，对敌人造成额外200/260/320/380/440/500（+15%物理加成）点物理伤害。,廉颇迸发狂暴力量并通过臂甲传入地面，获得350点护盾，1秒后地面会崩裂，对区域内的敌人造成100/125/150/175/200/225（+100%物理加成）（+4%最大生命加成）物理伤害，距离中心越近伤害越高，最高提升100%。技能范围内有敌人时会重置爆裂冲撞的冷却时间，并减少范围内敌人30%移动速度，非英雄单位会被拉向范围中心。技能释放期间可以使用其他技能。,廉颇跳向指定区域连续锤击地面三次，第一次：造成60/90/120（+60%物理加成）（+3%最大生命）点物理伤害和30%减速。第二次：造成90（+90%物理加成）（+4%最大生命）点物理伤害和50%减速。第三次：造成120（+150%物理加成）（+6%最大生命）点物理伤害和1秒击飞。
白起,反击之镰,血之回响,死神之镰,傲慢嘲讽,白起造成或受到伤害时会获得暗影之力，提升移动速度和治疗效果，最多可以提升70点移动速度和80%的治疗效果。,白起回旋大镰血洗四方，对范围内敌人造成100/180/260/340/420/500（+33%物理加成）点物理伤害，并回复2%的最大生命值，只命中野怪或者小兵效果减半。蓄力时间越久造成的伤害和获得的回复越高，最大可以造成基础值3倍的伤害和获得基础值3倍的回复。被动：白起受伤时有50%几率释放血之回响，同时缩短再次反击间隔时间。,白起在指定位置召唤镰刀，1.2秒后收回镰刀并拉回路径上的敌人，造成200/230/260/290/320/350（+100%物理攻击）法术伤害和50%减速，持续2.5秒。被动：白起对生命值低于30%的目标会额外造成30%伤害。,白起立即充满暗影之力，向指定位置跳跃，造成300/380/460（+100%物理攻击）法术伤害并嘲讽敌人，持续1/1.3/1.5秒，白起每1000点额外生命会额外增加0.2秒嘲讽时长，最多持续2.5秒。
芈月,永生之血,痛苦冲击,幻翼仆从,暗影之月,被动：芈月释放技能会召唤暗影仆从并对附近的敌人进行攻击，每次攻击会造成50（+7%法术加成）点法术伤害，对小兵额外造成80（+14%法术加成）点法术伤害，对野怪额外造成40（+7%法术加成）点法术伤害，并回复25（+3%法术加成）点生命值；召唤暗影仆从时芈月获得30点暗影之力，暗影之力会为芈月增加移速和治疗效果，最多增加30点移速和10%治疗效果，暗影之力消失时暗影仆从也会立即消失；暗影仆从最多存在6个。,芈月向指定方向释放暗影能量，对路径上的敌人造成200/220/240/260/280/300（+24%法术加成）点法术伤害；在暗影能量飞行的过程中，芈月能够再次使用技能降临在暗影能量位置，并对范围内敌人造成200/220/240/260/280/300（+24%法术加成）点法术伤害；第二段技能命中敌人会为芈月召唤一个暗影仆从。,芈月向指定方向释放暗影锁链，锁链将会和第一个命中的敌人连接，最多持续4秒；连接后每0.5秒抽取目标10点物理攻击力与30点法术攻击力，并对敌人减少2.5%移动速度，最多可以减少20%移动速度，每次抽取目标将回复自身15（+2%法术加成）点生命值并造成25/36/47/58/69/80（+7%法术加成）点法术伤害；如果连接持续4秒，会为芈月召唤一个暗影仆从；双方超过一定距离会挣脱连接。被动：芈月普通攻击得到强化，造成40（+100%物理加成）（+20%法术加成）点法术伤害并减少其10%移动速度，同时增加自身10点暗影之力。,芈月遁入暗影，增加30%移动速度并免疫所有效果，持续2秒；技能开启及结束时都将对范围内的敌人造成400/500/600（+50%法术加成）点法术伤害；如果第二段伤害命中敌人，会为芈月召唤一个暗影仆从；
吕布,饕餮血统,方天画斩,贪狼之握,魔神降世,被动：吕布挥斩方天画戟的技能命中敌方英雄后会给武器附魔，持续5秒。方天画戟在附魔状态下造成的是等额的真实伤害。附魔状态下，吕布挥斩方天画戟的技能每命中一名敌方英雄，回复(+50%额外物理攻击)(+4%已损生命)点生命。附魔状态下，吕布每次普攻命中敌人，回复(+25%额外物理攻击)(+ 1%已损生命)点生命。,吕布向指定方向挥动方天画斩，造成500/635/770/905/1040/1175（+260%额外物理加成）点物理伤害，如果没挥斩没有命中敌方英雄，则方天画戟会立即失去附魔。,吕布夺取指定方向范围内敌人的魂灵，减少其30%移动速度，持续3秒，每夺取一个魂灵，吕布获得175/220/265/310/355/400（+150%额外物理攻击）点护盾，护盾最多叠加3层。吕布的护盾会随时间转化为血量，每秒转化当前护盾的25%，每2点护盾转化为1点血量。,吕布在指定位置从天而降展开杀戮，落地时会标记范围并将范围内敌人击飞1秒，落地后吕布将奋力挥舞一次方天画斩会造成550/800/1050（+300%额外物理加成）点物理伤害；触碰范围边缘的敌人会受到150/200/250（+87%额外物理加成）点物理伤害并减少其50%移动速度，持续2秒；当敌方英雄触碰时还会额外回复吕布自身已损生命4%（+50%额外物理加成）点生命值；吕布的奋力一击如果命中英雄将会附魔自身武器，未命中英雄不会丢失原有的附魔状态。
周瑜,引燃,东风浩荡,流火之矢,烽火赤壁,被动：周瑜普通攻击和技能的火焰会对敌人和敌方建筑叠加引燃印记，持续4秒；叠加满4层后目标将被引燃，在4秒内每秒承受125（+17%法术加成）点法术伤害并减少其30%移动速度，持续1秒；引燃期间目标不会再被叠加印记,周瑜向指定方向召唤狂风形成一个单向风区，风区内己方英雄移速提升10%，敌方英雄移速降低20%，持续3秒，狂风吹起瞬间，还会将附近的敌人朝风向方向击退并造成200/240/280/320/360/400（+30%法术加成）点法术伤害，火区若被风区持续覆盖1秒，会朝风向方向蔓延出新的火区，火区每0.5秒对敌人造成一次125/150/175/200/225/250（+17%法术加成）点法术伤害,周瑜下令发射火矢轰击指定目标区域，火矢轰击会造成250/300/350/400/450/500（+34%法术加成）点法术伤害并留下一块火区，持续6.5秒，每0.5秒对火区内敌人造成一次100/120/140/160/180/200（+25%法术加成）点法术伤害。火区的数量若超过5个将清除较早生成的火区。火矢每8.5秒可储备1次，最多储备3次。被动：周瑜处于火区之中每0.5秒回复40/42/44/46/48/50(+7%法术加成)点生命值。,周瑜向指定范围方向召唤一片火焰，造成200/300/400（+40%法术加成）点法术伤害，火焰掠过火区会激起一道火风，火风会造成额外200/300/400（+40%法术加成）点法术伤害并将敌人晕眩1秒
夏侯惇,噬目,豪气斩,龙卷闪,不羁之刃,被动：夏侯惇生命值低于50％时，每一次技能或普通攻击命中目标都会回复4.5％的最大生命值，持续8秒；每30秒最多触发一次。,夏侯惇挥动大刀，向指定方向斩一道刃风，对路径上的敌人造成240/290/340/390/440/490（+100％物理加成）点物理伤害并减少其50％移动速度，持续2秒；刃风命中敌方小兵、英雄、野怪都可以解锁二段豪气斩，豪气斩会造成240/290/340/390/440/490（+100％物理加成）点物理伤害并将范围内敌人击飞1秒。,夏侯惇对周围敌人造成200/225/250/275/300/325（+70％物理加成）点法术伤害；同时获得一个可抵免等同于自身额外最大生命值12％的护盾，持续5秒；并强化夏侯惇的下三次普通攻击将附加150/180/210/240/270/300点真实伤害(对野怪造成双倍真实伤害)，持续8秒；每次强化普攻命中敌人时减少1秒不羁之刃的冷却时间，,夏侯惇向指定目标方向扔出链刃，链刃飞向指定位置或击中敌人后会对范围内敌人造成300/425/550(+118％物理加成）点物理伤害并将自己拉向链刃位置，期间免受伤害并且击中的首个敌人会眩晕1秒；夏侯惇飞抵目标区域后还将追加300/425/550（+118％物理加成）点物理伤害。
甄姬,凝泪成冰,泪如泉涌,叹息水流,洛神降临,甄姬的每次技能伤害都会为目标叠加冰冻印记，持续7秒，叠加满3层后目标将被冰冻1秒，造成350（+52％法术加成）点法术伤害,甄姬在指定位置召唤水柱冲出地面，对范围内敌人造成500/590/680/770/860/950（+65％法术加成）点法术伤害并击飞0.8秒,甄姬引导指定方向的水流，水流会锁定敌人并在敌人间弹射，最多弹射6次，每个敌人最多被弹射2次，每次弹射会对敌人造成300/350/400/450/500/550（+40％法术加成）点法术伤害,甄姬朝指定方向释放水之精魄不断向前推进并击退非英雄单位，当水之精魄命中敌方英雄或者达到最远距离时将形成水域，第一个直接被命中的英雄受到400/500/600（+65％法术加成）点法术伤害并减少90%移速持续1秒；水之精魄形成的水域持续5秒，每秒对触碰的敌人造成200/250/300（+32％法术加成）点法术伤害并减少其50％移动速度，持续2秒
曹操,争霸,霸道之刃,纵横天下,浴血枭雄,被动：曹操每次施放技能会增加10%攻击速度，最多叠加5层，持续5秒,曹操向指定方向发起斩击突袭，对路径上的敌人造成250/275/300/325/350/375（+65%%物理加成）点物理伤害；最多可以发动3次，并且第三次斩击会将敌人击飞0.5秒,曹操剑指天下，向指定方向挥出强大剑气，对路径上的敌人造成240/300/360/420/480/540（+90%物理加成）点物理伤害并减少其50%移动速度，持续2秒；被动：普通攻击命中敌人时减少1秒纵横天下的冷却时间,曹操以鲜血意志强化大剑立即解除自身控制效果并回复18%已损生命值，持续8秒，施放时对附近敌人造成300/375/450（+100%物理加成）点物理伤害，强化的大剑会增加100/150/200物理攻击力和20%韧性；并且每次普通攻击或技能命中敌方将回复120/180/240（+37%物理加成）点生命值
典韦,激怒,红眼,狂暴,嗜血,被动：典韦每一次击败英雄或者助攻会增加1层激怒效果，每层激怒效果会增加典韦12点物理攻击力，最多叠加20层,典韦做好冲锋陷阵的准备，移除自身控制效果，并且增加60%持续衰减的移速，持续3秒，下一次普通攻击变更为挥砍，挥砍会对附近敌人造成额外300/350/400/450/500/550（+100%物理加成）点物理伤害,暴怒的典韦践踏大地，对范围内敌人造成250/280/310/340/370/400（+100%物理加成）点物理伤害并减少其50%的移动速度，持续2秒，如果命中敌人将会突破自身极限，增加200%攻击速度和25/30/35/40/45/50%吸血效果，持续3秒,典韦对锁定目标发起跳斩，造成300/350/400（+90%物理加成）点真实伤害并减少其50%的移动速度，持续3秒，同时会强化自身，对敌人造成的所有伤害附带目标最大生命3%的真实伤害，持续5秒。
宫本武藏,二天一流,空明斩,神速,一决生死,宫本武藏释放技能后会蓄1重势，每次普攻消耗1重势，获得不同的强化效果，强化普攻不受攻速影响，命中后减少【空明斩】和【神速】1秒冷却时间。 一重势：若目标生命在50%以上，宫本武藏双刀挥斩，共累计造成50(+135%物理攻击)物理伤害，若目标生命在50%以下，宫本武藏向前正斩，造成（+100%物理攻击）物理伤害，并附带目标9%已损生命的物理伤害。 二重势：宫本武藏挥刀突进至目标身前，造成20（+100%物理攻击）物理伤害和50%减速。,宫本武藏斩出一道剑气击落路径上的敌方飞行物，同时对路径上的敌人造成物理伤害和减速。 释放【空明斩】时宫本武藏处于霸体状态。,宫本武藏向前冲刺，对路径上的敌人造成180(+40%物理攻击)物理伤害，若命中敌人将获得300（+60/Lv）点护盾并减少50%冷却时间。,宫本武藏选择并锁定一名敌方英雄，向目标所在区域突进，对范围内的目标造成伤害和击飞，随后目标被宫本指明为一决生死的对象，持续5秒，期间对象所有恢复效果都会延迟到一决生死后生效。 宫本武藏在突进期间处于霸体状态，并减少50%所受伤害。
李白,侠客行,将进酒,神来之笔,青莲剑歌,被动：李白使用普通攻击攻击敌人时，会积累1道剑气，持续3秒；积累4道剑气后进入侠客行状态，增加30点物理攻击力并解除青莲剑歌的封印，持续5秒；攻击建筑不会积累剑气,李白可用醉剑式向指定方向连续突进2次，对路径上的敌人造成350/395/440/485/530/575（+110%物理加成）点物理伤害并且造成晕眩0.5秒叠加一层剑气；第三次释放会回到原地；每次释放间隔不能超过5秒,李白以自身为中心化剑为青莲剑阵，对范围内敌人造成180/210/240/270/300/330（+60%物理加成）点物理伤害；对触碰到剑圈的敌人造成300（+100%物理加成）点物理伤害并且减少90%移动速度，持续1秒；同时敌人会减少100/175/250/325/400/475点物理防御，持续3秒；李白释放技能期间不可被选中,李白化身为剑气，对指定方向范围内的所有敌人飞速穿梭斩击5次，每次斩击造成220/270/320（+50%额外物理加成）点物理伤害；当同时攻击多个敌方英雄时，每增加一位敌方英雄将衰减15%的伤害，最低衰减至初始伤害的70%；青莲剑歌需要由侠客行解除限制后方可释放，使用后立即进入限制状态；李白释放技能期间不可被选中和攻击
马可波罗,连锁反应,华丽左轮,漫游之枪,狂热弹幕,被动：马可波罗的每次普攻与技能伤害会给目标附加1层防御破坏效果(对小兵为5层)，达到10层后回复30点能量，同时目标触发防御破坏效果。 防御破坏期间目标每次受到马可波罗的伤害都会额外受到40( +35%物理攻击)真实伤害(该伤害可以暴击)，持续5秒。马可波罗的技能伤害仅享受50%的法球加成。,马可波罗向指定方向连续射击过程期间获得10%移速提升，每一枪造成130（+27%物理加成）点物理伤害都能触发普攻的法球效果，命中回复10点能量，额外攻击速度会影响技能射出的子弹数目，在攻速达到0/80%/130%/180%时射出子弹数5/7/9/11。,马可波罗向指定方向闪烁，立即出现在目标位置；被动：马可波罗身边500范围内存在敌方英雄时，提升20%的伤害和15/18/21/24/27/30%移动速度。,马可波罗闪烁出现在指定位置并向周围持续发射弹幕，造成150(+35%物理攻击)物理伤害。 额外攻速会影响技能射出的弹幕波数，在攻速达到0/80%/130%/180%时射出弹幕数10/13/16/19.弹幕会触发普攻的法球效果。
